"Categoria_1","Categoria_2","Frequência","Frequência Relativa (%)"
"Arma branca","Feminino",233,16.82
"Arma branca","Masculino",1152,83.18
"Arma de fogo","Feminino",1167,8.21
"Arma de fogo","Masculino",13056,91.79
"Outros meios","Feminino",128,13.59
"Outros meios","Masculino",814,86.41
